source_ticker,target_ticker,relation_type,weight,is_directed,valid_from,valid_to,evidence_source,note
OCB,MSB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
OCB,SHB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
OCB,SSB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
OCB,STB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
OCB,TCB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
OCB,TPB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
OCB,VCB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
OCB,VIB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
OCB,VPB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
SHB,ABB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
SHB,ACB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
