model,event_trading_date,n,mae,rmse,mean_y_true,mean_y_pred
Random Forest,2025-12-22,86,0.00791042870202045,0.010629150306279585,0.016860676490766658,0.019058399290697674
Random Forest,2025-12-23,68,0.008969018157511834,0.011539113973297406,0.01973986101117639,0.01793827245294118
Random Forest,2025-12-24,74,0.007148440854948089,0.009941690491851542,0.017915854246254855,0.018281086290540538
Rolling Volatility,2025-07-31,38,0.0047847157239935285,0.005629502385707681,0.02602467791324379,0.025338762657894736
Rolling Volatility,2025-08-01,56,0.007104034363439033,0.008250823226829799,0.02270971175416234,0.02370589628571429
Rolling Volatility,2025-08-04,93,0.009832153058518457,0.011754547299759062,0.020052293400650657,0.02326204946774194
Rolling Volatility,2025-08-05,64,0.007213085804920063,0.009072491302264694,0.017234828395885367,0.0221954290359375
Rolling Volatility,2025-08-06,43,0.006985702937738359,0.008443136788109736,0.018395411998553286,0.019688259995348838
Rolling Volatility,2025-08-07,84,0.008175634743407123,0.010125267056653064,0.021382174421367854,0.02400004916666667
Rolling Volatility,2025-08-08,52,0.0076705824925630255,0.010122058852149608,0.02204600044597795,0.02628877118461538
Rolling Volatility,2025-08-11,66,0.007429174993777566,0.009867553324281644,0.0204010240197407,0.02479241163181818
Rolling Volatility,2025-08-12,89,0.007334480524298058,0.00945048338984553,0.02237273580290037,0.023163444984269668
Rolling Volatility,2025-08-13,91,0.008408565963407028,0.010373617659641987,0.02444609407601608,0.027440555978021978
Rolling Volatility,2025-08-14,95,0.007634889765485405,0.008930810907898587,0.023455602744300075,0.024577596610526314
Rolling Volatility,2025-08-15,86,0.008840402101107437,0.013124710399052242,0.02891002045294569,0.02523512507558139
Rolling Volatility,2025-08-18,83,0.014530849698569343,0.01940880303721294,0.03491221956280336,0.026726429245783126
Rolling Volatility,2025-08-19,50,0.01533704965139272,0.019220832545998486,0.04020799636840816,0.0266523173
Rolling Volatility,2025-08-20,40,0.011827267616195417,0.014402813748229989,0.03783446820452806,0.027817849525
Rolling Volatility,2025-08-21,58,0.01059757887551521,0.012874941761972132,0.03664916458314859,0.028112957510344826
Rolling Volatility,2025-08-22,42,0.010176083549538298,0.012324174712595821,0.027782208774061394,0.02365211589047619
Rolling Volatility,2025-08-25,76,0.008141062811247227,0.010314573139940319,0.022652441476422664,0.02860542738157894
Rolling Volatility,2025-08-26,69,0.01495897406858426,0.016114973923664313,0.016923747862270726,0.031493233536231895
Rolling Volatility,2025-08-27,117,0.011553414847143447,0.013030729287077481,0.02378928370805628,0.027560255273504274
Rolling Volatility,2025-08-28,96,0.007083305899969603,0.008693665905106772,0.021611958686359335,0.023737010947916665
Rolling Volatility,2025-08-29,216,0.008774716771805878,0.010965511971156217,0.025899308216240625,0.026856652397685192
Rolling Volatility,2025-09-03,140,0.007255068159599528,0.008566340003553493,0.023662234260700587,0.026094477042857146
Rolling Volatility,2025-09-04,59,0.0067722309774214786,0.008531716245570885,0.02243107277110719,0.026163374101694916
Rolling Volatility,2025-09-05,82,0.006941124366327509,0.009213990181863696,0.024520005079599543,0.02943491751341463
Rolling Volatility,2025-09-08,65,0.011711864438588612,0.013902509992539868,0.017405288458730125,0.028677998184615378
Rolling Volatility,2025-09-09,71,0.009801229087690775,0.012264895383697086,0.015949858503389903,0.025200865769014077
Rolling Volatility,2025-09-10,24,0.011917185728474574,0.014650227410043171,0.01925560866948211,0.028663046291666664
Rolling Volatility,2025-09-11,38,0.01521399791785819,0.018223399941443463,0.014074166869058385,0.028094210149999996
Rolling Volatility,2025-09-12,61,0.013823270175600278,0.0167439673459645,0.01751727308146651,0.02855669951803279
Rolling Volatility,2025-09-15,53,0.010816534788889009,0.013862014387118805,0.012974150654561067,0.02327805809433962
Rolling Volatility,2025-09-16,51,0.01308270671128608,0.016917281278083774,0.016258406014565116,0.025796897882352943
Rolling Volatility,2025-09-17,45,0.009873750188219026,0.011912174472753981,0.017092690947982946,0.026655853244444448
Rolling Volatility,2025-09-18,53,0.008472843389766085,0.010117262154250595,0.016482999539529895,0.024420969794339626
Rolling Volatility,2025-09-19,53,0.009625063291248044,0.011324264157720483,0.018907077074542877,0.027628912877358493
Rolling Volatility,2025-09-22,58,0.010293420914768814,0.012206071847502165,0.015488993248035115,0.023943410439655175
Rolling Volatility,2025-09-23,31,0.011234400309108146,0.013082433270722019,0.019436202132173074,0.029006722838709677
Rolling Volatility,2025-09-24,42,0.012362659532821388,0.013487702467472386,0.011906958417966917,0.024102192761904766
Rolling Volatility,2025-09-25,39,0.008451247210589511,0.009825014615992169,0.013942318311772995,0.02145843898205128
Rolling Volatility,2025-09-26,50,0.008831200500049066,0.0102253443493064,0.014641798827797137,0.021988850034
Rolling Volatility,2025-09-29,68,0.00881701815855436,0.01112962386945036,0.02591773210202941,0.019336095007352935
Rolling Volatility,2025-09-30,47,0.007730060175850074,0.009659419128664708,0.023819446266490046,0.018289070276595747
Rolling Volatility,2025-10-01,45,0.007333906669422285,0.009452385760269575,0.020093327822784533,0.018786609711111107
Rolling Volatility,2025-10-02,54,0.007359972110865417,0.009346042896394735,0.024621142992853232,0.02014648902777778
Rolling Volatility,2025-10-03,44,0.006484106026330133,0.007669498178641897,0.022036644905297543,0.017741977375
Rolling Volatility,2025-10-06,63,0.006331422055975467,0.0076366198654941675,0.020151723834079836,0.022805957388888888
Rolling Volatility,2025-10-07,46,0.004468730102728778,0.005939979681169995,0.014874568836682468,0.017360901913043476
Rolling Volatility,2025-10-08,52,0.00540220703915738,0.0072320963438189684,0.01686826635761037,0.01877179265
Rolling Volatility,2025-10-09,41,0.005973700985318953,0.007327990330541616,0.01606979787849429,0.018168030014634146
Rolling Volatility,2025-10-10,52,0.007254681323403368,0.008780394092072284,0.020600084407935596,0.021258666182692305
Rolling Volatility,2025-10-13,40,0.01538123789868311,0.01917792102090492,0.03214684617705639,0.02022028126
Rolling Volatility,2025-10-14,45,0.01841222772328858,0.019941001046118328,0.03828169517219062,0.020035254577777776
Rolling Volatility,2025-10-15,54,0.016791141792606615,0.018650466608129496,0.036122601168851014,0.01984748849074074
Rolling Volatility,2025-10-16,62,0.013937336601539597,0.017170914349498273,0.03185821052700758,0.018426278612903222
Rolling Volatility,2025-10-17,55,0.014313188769864144,0.016410100501111163,0.031015138107944578,0.01752362758
Rolling Volatility,2025-10-20,65,0.006443153008571701,0.008598796685735753,0.02243951394652513,0.019133589096923073
Rolling Volatility,2025-10-21,47,0.008356766260115334,0.010924024465379404,0.025770465253872086,0.024688101144680848
Rolling Volatility,2025-10-22,45,0.007328687787265575,0.008798992436957118,0.019319541048672405,0.020553446142222223
Rolling Volatility,2025-10-23,45,0.007109229200194162,0.0082248852313067,0.02140720233114224,0.02564838164444444
Rolling Volatility,2025-10-24,72,0.007363618819741717,0.008992544196641966,0.01749933316023084,0.02311907234722222
