article_id,ticker,company_name,is_primary,mention_count,relevance_score,company_sentiment,mapping_method,matched_text
N010057,SSI,SSI Securities,0,1,1.0,0.0,ticker_match,SSI
N010057,VHM,Vinhomes,0,1,1.0,0.0,ticker_match,VHM
N010057,HPG,Hoa Phat,1,1,1.0,0.0,ticker_match,HPG
N010058,HSG,Hoa Sen Group,1,1,1.0,0.0,ticker_match,HSG
N010059,HSG,Hoa Sen Group,1,1,1.0,0.0,ticker_match,HSG
N010060,HSG,Hoa Sen Group,1,1,1.0,0.0,ticker_match,HSG
N010061,IDI,IDI,1,1,1.0,0.0,ticker_match,IDI
N010062,IDI,IDI,1,1,1.0,0.0,ticker_match,IDI
N010063,KDC,KIDO,1,1,1.0,0.0,ticker_match,KDC
N010064,KDH,Khang Dien,1,1,1.0,0.0,ticker_match,KDH
N010065,KDH,Khang Dien,1,1,1.0,0.0,ticker_match,KDH
N010066,KDH,Khang Dien,1,1,1.0,0.0,ticker_match,KDH
N010067,MBB,MBBank,1,1,0.8,0.266667,source_ticker,MBB
N010068,MBB,MBBank,1,2,1.0,0.0,ticker_match,MBB
N010069,MSB,MSB,1,1,1.0,0.0,ticker_match,MSB
N010070,MSB,MSB,1,2,1.0,0.333333,ticker_match,MSB
N010071,MSN,Masan Group,1,1,0.95,0.0,company_name_match,Masan Group
N010072,MSN,Masan Group,1,1,1.0,0.0,ticker_match,MSN
N010073,MSN,Masan Group,1,1,1.0,0.0,ticker_match,MSN
N010074,MSN,Masan Group,1,1,1.0,0.0,ticker_match,MSN
N010075,NKG,Nam Kim,1,1,1.0,-0.333333,ticker_match,NKG
N010076,NLG,Nam Long,1,1,0.8,0.266667,source_ticker,NLG
N010077,OCB,OCB,1,1,1.0,0.0,ticker_match,OCB
N010078,OCB,OCB,1,1,1.0,0.0,ticker_match,OCB
N010079,OCB,OCB,1,1,1.0,0.0,ticker_match,OCB
N010080,PAN,PAN Group,1,1,1.0,0.0,ticker_match,PAN
N010081,PAN,PAN Group,1,1,1.0,0.0,ticker_match,PAN
N010082,PLX,Petrolimex,1,1,1.0,0.0,ticker_match,PLX
N010083,POW,PV Power,1,1,1.0,0.0,ticker_match,POW
N010084,POW,PV Power,1,1,1.0,0.0,ticker_match,POW
N010085,POW,PV Power,1,1,1.0,0.0,ticker_match,POW
N010086,PVD,PV Drilling,1,1,1.0,0.0,ticker_match,PVD
N010087,PVD,PV Drilling,1,1,1.0,0.0,ticker_match,PVD
N010088,PVD,PV Drilling,1,1,1.0,0.0,ticker_match,PVD
N010089,PVD,PV Drilling,1,1,1.0,0.0,ticker_match,PVD
N010090,PVS,PTSC,1,1,1.0,0.0,ticker_match,PVS
N010091,REE,REE Corporation,1,1,1.0,0.0,ticker_match,REE
N010092,REE,REE Corporation,1,1,1.0,0.0,ticker_match,REE
N010093,SCR,SCR,1,1,1.0,0.333333,ticker_match,SCR
N010094,SCR,SCR,1,1,1.0,0.0,ticker_match,SCR
N010095,SCR,SCR,1,1,1.0,0.0,ticker_match,SCR
N010096,SCR,SCR,1,1,1.0,0.0,ticker_match,SCR
N010097,SHB,SHB,1,1,1.0,0.0,ticker_match,SHB
N010098,SHB,SHB,1,1,1.0,0.0,ticker_match,SHB
N010099,SHB,SHB,1,1,1.0,0.0,ticker_match,SHB
N010100,SSB,SSB,1,1,1.0,0.0,ticker_match,SSB
N010101,SSB,SSB,1,1,1.0,0.0,ticker_match,SSB
N010102,SSB,SSB,1,1,1.0,0.0,ticker_match,SSB
N010103,SSI,SSI Securities,1,1,1.0,0.0,ticker_match,SSI
N010103,VHM,Vinhomes,0,1,1.0,0.0,ticker_match,VHM
N010103,HPG,Hoa Phat,0,1,1.0,0.0,ticker_match,HPG
N010104,SSI,SSI Securities,1,1,1.0,0.0,ticker_match,SSI
N010105,SZC,Sonadezi Chau Duc,1,1,1.0,0.333333,ticker_match,SZC
N010106,TCB,Techcombank,1,1,1.0,0.0,ticker_match,TCB
N010106,HCM,HSC,0,1,1.0,0.0,ticker_match,HCM
N010107,TCB,Techcombank,1,1,1.0,0.0,ticker_match,TCB
N010108,VCB,Vietcombank,1,1,0.8,0.533333,source_ticker,VCB
N010109,VCB,Vietcombank,1,1,1.0,0.0,ticker_match,VCB
N010110,VCB,Vietcombank,1,1,1.0,0.0,ticker_match,VCB
N010111,VCB,Vietcombank,1,1,1.0,0.0,ticker_match,VCB
N010112,VIB,VIB,1,2,1.0,0.0,ticker_match,VIB
N010113,VIB,VIB,1,1,1.0,0.0,ticker_match,VIB
N010114,VND,VNDirect,1,1,1.0,0.0,ticker_match,VND
N010115,VNM,Vinamilk,1,1,1.0,0.0,ticker_match,VNM
N010116,VNM,Vinamilk,1,1,1.0,0.0,ticker_match,VNM
N010117,VNM,Vinamilk,1,1,1.0,0.0,ticker_match,VNM
N010118,VNM,Vinamilk,1,1,1.0,0.0,ticker_match,VNM
N010119,VNM,Vinamilk,1,1,1.0,0.0,ticker_match,VNM
N010120,VPB,VPBank,1,1,1.0,0.0,ticker_match,VPB
N010121,VPB,VPBank,1,1,1.0,0.0,ticker_match,VPB
N010122,VPB,VPBank,1,1,1.0,0.0,ticker_match,VPB
N010123,BID,BIDV,1,1,0.95,0.0,company_name_match,BIDV
N010124,CTG,VietinBank,1,1,0.95,0.316667,company_name_match,VietinBank
N010125,DIG,DIC Corp,1,1,1.0,-0.333333,ticker_match,DIG
N010126,DXG,Dat Xanh,1,1,1.0,0.0,ticker_match,DXG
N010127,LTG,Loc Troi Group,1,1,1.0,0.333333,ticker_match,LTG
N010128,OCB,OCB,1,1,1.0,0.333333,ticker_match,OCB
N010129,SIP,SIP,1,1,1.0,0.0,ticker_match,SIP
N010130,VCB,Vietcombank,1,1,0.95,0.316667,company_name_match,Vietcombank
N010131,VIC,Vingroup,1,1,0.8,0.0,source_ticker,VIC
N010132,VNM,Vinamilk,1,1,0.95,0.316667,company_name_match,Vinamilk
N010133,GEG,GEG,1,1,1.0,0.333333,ticker_match,GEG
