model,event_trading_date,n,mae,rmse,mean_y_true,mean_y_pred
Random Forest,2025-09-29,39,0.599338542320399,0.7351579405439919,0.32395532497992885,-0.15160651774358977
Random Forest,2025-09-30,25,0.6342664962689666,0.7240595333319642,0.2917064583301544,-0.18236198788
Random Forest,2025-10-01,25,0.540288752944562,0.6379487300075993,0.2020943395793438,-0.12916501991999998
Random Forest,2025-10-02,29,0.595087391528435,0.7125313859311305,0.21972038982243375,-0.18547693148275862
Random Forest,2025-10-03,25,0.4479603182533412,0.527126203217155,0.175862440764904,-0.12207455827999998
Random Forest,2025-10-06,32,0.40275813029393936,0.4825298148204948,-0.26870964182307944,-0.09565562259375
Random Forest,2025-10-07,25,0.34055373591684174,0.39868342237822313,-0.175495589338243,-0.042632499216
Random Forest,2025-10-08,28,0.3366162585214811,0.4367030530248829,-0.17656355976526225,-0.13949789534285714
Random Forest,2025-10-09,27,0.38159708584141283,0.4885528275106933,-0.17065722467722716,-0.17691493525925922
Random Forest,2025-10-10,29,0.46879601578975677,0.5607605696709262,-0.13070322923233796,-0.11503210239655172
Random Forest,2025-10-13,25,0.9476426280889272,1.0466926526302236,0.7078819409012794,-0.16706415496
Random Forest,2025-10-14,21,1.1111331128029254,1.1746535542800562,0.9612667716684795,-0.135336958
Random Forest,2025-10-15,32,1.0129805436644508,1.0731589674126412,0.8789658676832914,-0.099017740109375
Random Forest,2025-10-16,30,0.9751106931843103,1.0602123138547157,0.8441125822563966,-0.06566844549333334
Random Forest,2025-10-17,32,0.9124564981214497,0.9997802259919618,0.7578306240029633,-0.078300152484375
Random Forest,2025-10-20,38,0.4719195336901685,0.5743345687724826,0.22908238466142825,-0.051919629747368426
Random Forest,2025-10-21,25,0.546557516043194,0.6392815021680627,0.026874018348753453,-0.06459466384
Random Forest,2025-10-22,21,0.4024532093577343,0.5247827287382304,-0.14036475024407818,-0.11169744326190477
Random Forest,2025-10-23,25,0.39319678074364384,0.5120205011676678,-0.24974001288414002,-0.25265060916
Random Forest,2025-10-24,34,0.4501501822828072,0.5512483389116704,-0.26624001962516236,-0.21500946352941175
Random Forest,2025-10-27,31,0.5381529573308735,0.5973985489128274,-0.06557656277812296,-0.107668089
Random Forest,2025-10-28,50,0.6380198697730328,0.7196699777471264,0.12101141020655631,-0.11309285950000002
Random Forest,2025-10-29,39,0.4793526079260538,0.6049511953853098,0.019094500571298276,-0.20213518114615384
Random Forest,2025-10-30,58,0.5335273276756125,0.6391336116164122,-0.13119824494010415,-0.19218238067241378
Random Forest,2025-10-31,49,0.5302149860473416,0.6671560389354693,0.011479436795284249,-0.25968256716326527
Random Forest,2025-11-03,27,0.4148472759968194,0.5186264521039963,0.003313953815786927,-0.19499376077777775
Random Forest,2025-11-04,39,0.47451290219512376,0.5462390209942121,-0.38115324395207256,-0.2144039646153846
Random Forest,2025-11-05,21,0.3954513663947833,0.47850706350719735,-0.25644739078623907,-0.263121805952381
Random Forest,2025-11-06,24,0.32191781051982493,0.40497975355922977,-0.28337500321989256,-0.2604077465833334
Random Forest,2025-11-07,25,0.4189558635734539,0.5106023613892033,-0.3970564894378185,-0.285731600768
Random Forest,2025-11-10,26,0.48541520874638755,0.5629722774363747,-0.5797752434244523,-0.26785057319230765
